# BrowserLayout line-break baseline attribution — 2026-08-31
# Diagnostic artifact only; docs/browser-layout/line-break-baseline/redchamber.tsv was not modified.
# golden_lines/before_lines/after_lines are the existing fingerprint text-fragment count, not logical box-line count.
spine	classification	subtype	earliest_provenance	root_x_overlap	root_x_delta_pt	golden_pages	before_pages	after_pages	golden_lines	before_lines	after_lines
421	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	11	12	12	384	391	391
422	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	12	12	12	471	483	483
423	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	no	-	2	2	2	75	75	75
425	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
426	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	1	1	1	10	10	10
427	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	5	5	5	142	144	144
428	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	16	16	16	603	608	608
429	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	5	5	5	170	173	173
430	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	9	9	9	311	318	318
431	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	21	21	21	773	785	785
432	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	6	6	6	204	207	207
433	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	12	13	13	514	523	523
434	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH	no	-	20	21	21	745	750	750
435	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	14	14	14	535	549	549
436	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	2	2	2	54	55	55
438	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
439	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	1	1	1	10	10	10
440	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	3	3	3	100	102	102
441	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	22	22	22	883	902	902
442	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	24	24	24	887	900	900
443	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	16	16	16	627	640	640
444	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	26	26	26	1045	1052	1052
445	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	22	22	22	802	811	811
446	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	2	2	2	54	58	58
449	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	4	4	4	132	139	139
450	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	20	21	21	678	688	688
451	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	14	14	14	566	568	568
452	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	no	-	8	8	8	288	295	295
453	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	7	7	7	221	223	223
455	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	2	2	2	56	60	60
456	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	9	9	9	314	320	320
457	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	no	-	14	14	14	539	550	550
